Source,Target,Type
1127942283595091969,12,Undirected
1129335612585127936,11,Undirected
1129687030802206725,12,Undirected
1129010353059196928,12,Undirected
1129976861100920832,12,Undirected
1129986853623353345,14,Undirected
1128440223304683521,12,Undirected
1129506883037933568,13,Undirected
1129713556138516480,11,Undirected
1129702501194784773,11,Undirected
1129889673256374272,10,Undirected
1128945023398043648,12,Undirected
1130384251063422976,12,Undirected
1129747453601820672,10,Undirected
1129565746919383041,12,Undirected
1128939788290019328,14,Undirected
1128227546552606720,10,Undirected
1129684367784042496,14,Undirected
1128448555205779456,12,Undirected
1129292150288420865,10,Undirected
1129689357432963077,10,Undirected
1129204553205727232,11,Undirected
1129571749870235648,10,Undirected
1127338620044505088,12,Undirected
1129716840291110912,10,Undirected
1130201178409537537,12,Undirected
1127356006416113664,12,Undirected
1129901643200253952,11,Undirected
1129129171706232832,10,Undirected
1129555896160272385,14,Undirected
1129929791224729602,12,Undirected
1129702221464006656,10,Undirected
1129730658056720385,10,Undirected
1129569854627835905,14,Undirected
1129697211242041345,12,Undirected
1128513869767249920,10,Undirected
1129933424913870848,10,Undirected
1130348311850803200,12,Undirected
1126978402961899520,12,Undirected
1127753090239582208,14,Undirected
1129700534938587137,10,Undirected
1128411531723468801,14,Undirected
1129725304610742275,10,Undirected
1127767030709358592,12,Undirected
1129994026042646528,12,Undirected
1129729617558986753,10,Undirected
1129685108481449985,10,Undirected
1127401589038145536,11,Undirected
1129894247736307712,10,Undirected
1127353276280651776,10,Undirected
1129688561207275520,10,Undirected
1129946041858445312,12,Undirected
1129534940939411456,12,Undirected
1127012129540677632,12,Undirected
1128379062072700929,13,Undirected
1130424838558867456,12,Undirected
1130277008502431745,14,Undirected
1128183633414459392,10,Undirected
1129749636468625408,14,Undirected
1129946616528424960,12,Undirected
1129667496900882432,12,Undirected
1129983183921922054,12,Undirected
1129721957316874240,10,Undirected
1129853790390120448,13,Undirected
1128839732664737792,14,Undirected
1128940413094510592,10,Undirected
1129685307060658176,14,Undirected
1129615623556698112,14,Undirected
1129144814610583552,13,Undirected
1128535281651658752,10,Undirected
1129698591428104192,10,Undirected
1129543899054104577,11,Undirected
1127715308527972352,12,Undirected
1129753339682594816,13,Undirected
1128784518452613122,12,Undirected
1129261942659354624,14,Undirected
1128121205918093312,12,Undirected
1129583681159348224,13,Undirected
1127879771050823680,11,Undirected
1129691329036935168,12,Undirected
1127353023041159168,10,Undirected
1130246664067796992,10,Undirected
1129642524505661440,12,Undirected
1129358871963635717,12,Undirected
1129745746868285441,14,Undirected
1127807176255295488,13,Undirected
1129733754048716806,13,Undirected
1128973091789451264,14,Undirected
1129670155783380992,12,Undirected
1129735436371406849,12,Undirected
1129685491631005696,12,Undirected
1129601307965153281,12,Undirected
1129494137214914560,13,Undirected
1127760116927721472,14,Undirected
1127693565725855744,14,Undirected
1129696065026834432,11,Undirected
1128784141456031744,12,Undirected
1129648587535597568,11,Undirected
