Source,Target,Type
1128526824152104960,11,Undirected
1129741716494397442,12,Undirected
1127903751837143040,12,Undirected
1127874647909756928,13,Undirected
1128392526711246848,12,Undirected
1127208623325605888,13,Undirected
1128840652785999873,12,Undirected
1126970678375149568,10,Undirected
1129284000256806912,11,Undirected
1129689674388103168,12,Undirected
1129548748562919424,12,Undirected
1129858832606334976,11,Undirected
1128973779500093440,12,Undirected
1127737456596439040,12,Undirected
1129681740002316293,12,Undirected
1129357629342461954,14,Undirected
1128683456764960769,12,Undirected
1128862891275276289,12,Undirected
1129246701611393024,11,Undirected
1129526588175863808,11,Undirected
1129137272098566145,11,Undirected
1129700022616961024,10,Undirected
1128678176337551360,10,Undirected
1130376047386451968,12,Undirected
1127024479526211584,12,Undirected
1129671077532069888,11,Undirected
1128112619900919808,11,Undirected
1127565087936397314,10,Undirected
1128941448810729473,10,Undirected
1128461253607817218,12,Undirected
1129845381502623744,11,Undirected
1127813915260243968,12,Undirected
1129608878549684224,14,Undirected
1128107801673207808,10,Undirected
1128974080219045892,10,Undirected
1129706694525669376,14,Undirected
1129661796707495937,11,Undirected
1128130892889649152,10,Undirected
1126978402961899520,12,Undirected
1129893029777514496,11,Undirected
1128210228137172993,10,Undirected
1129695960391544835,10,Undirected
1129560974405525504,10,Undirected
1128136821811007489,11,Undirected
1127789503513387008,10,Undirected
1129268908483940357,12,Undirected
1129741262578438145,14,Undirected
1127013175721725952,12,Undirected
1128228166424621057,10,Undirected
1127686882404343808,12,Undirected
1128124890886750209,12,Undirected
1127838024060923904,14,Undirected
1129706454628294656,10,Undirected
1128798823067803649,12,Undirected
1129729542275383296,14,Undirected
1127019314081554433,12,Undirected
1127921725612511232,13,Undirected
1128486275189596160,13,Undirected
1129706837463318528,12,Undirected
1129753063449944065,12,Undirected
1129552668798570497,11,Undirected
1128867710425681920,12,Undirected
1128419653850619904,11,Undirected
1127515680591364096,12,Undirected
1127446236200521730,12,Undirected
1129894845303017472,11,Undirected
1128856170054135808,10,Undirected
1129167217306808325,14,Undirected
1129630014243139584,10,Undirected
1129550791457423360,12,Undirected
1129601268362571776,11,Undirected
1129628938525859840,13,Undirected
1130303992490127360,11,Undirected
1126986291487232001,10,Undirected
1129143047369809921,10,Undirected
1127780274169716736,12,Undirected
1129506152364986369,11,Undirected
1129909358911868928,14,Undirected
1128144963420639232,12,Undirected
1129302648841068545,13,Undirected
1129981427875926017,11,Undirected
1128486636105256960,10,Undirected
1129743713348018176,10,Undirected
1129957699821531136,12,Undirected
1129730557259198465,12,Undirected
1129754061522264065,11,Undirected
1127495196990554113,10,Undirected
1127080016246738944,10,Undirected
1129742345346453505,13,Undirected
1129641215555710976,14,Undirected
1129561941507051520,14,Undirected
1127382616208887808,12,Undirected
1127726650538508289,12,Undirected
1129919192491151360,12,Undirected
1129704005699919878,14,Undirected
1127483755277443072,10,Undirected
1127358949324349440,10,Undirected
1127057572463239170,10,Undirected
1129681446577160192,12,Undirected
1129473918744563713,10,Undirected
1128219722149797888,14,Undirected
1129700620158423041,10,Undirected
1128962736803573760,13,Undirected
1128847943312613376,12,Undirected
1129003950038847489,13,Undirected
1129154459626377216,14,Undirected
1129967222078599169,10,Undirected
1128590776219258880,12,Undirected
1128999184160284672,11,Undirected
1130363625044975616,11,Undirected
1129742994314285061,12,Undirected
1127748276109729793,12,Undirected
1128255745399504896,10,Undirected
1129674116309454848,11,Undirected
1128250432470560768,12,Undirected
1129642426048532485,12,Undirected
1129552068455411714,12,Undirected
1129596972271149056,12,Undirected
1130294121665445888,12,Undirected
1128953247379668992,12,Undirected
1127746996964433920,12,Undirected
1129280339795369985,14,Undirected
1129728750717947907,12,Undirected
1128277846382616578,14,Undirected
1129701495090192385,11,Undirected
1128295769591566337,11,Undirected
1127523226882461696,10,Undirected
1128873727351971840,12,Undirected
1130014180931596288,12,Undirected
1127894872562651137,10,Undirected
1127373073659727872,12,Undirected
1129651676917501952,12,Undirected
1128626170721779713,11,Undirected
1129237952301633536,10,Undirected
1128185156836003840,13,Undirected
1127305886559559680,10,Undirected
1127192768235708419,10,Undirected
1128234613418053634,10,Undirected
1127366291667296256,10,Undirected
1129152133545091074,12,Undirected
1128263857841958912,11,Undirected
1129582037239717888,10,Undirected
1129759382856753155,10,Undirected
1127423509376856064,11,Undirected
1129303554265452544,12,Undirected
1128811054778052608,13,Undirected
1130282062731141121,12,Undirected
1127438299314786309,12,Undirected
1129582895553605633,10,Undirected
1127722778268856320,12,Undirected
1128911461646983168,12,Undirected
1130388468037644289,10,Undirected
1129274912072380416,10,Undirected
1130075793772564480,13,Undirected
1127085871906246656,11,Undirected
1130070001354862592,10,Undirected
1128489412273233920,12,Undirected
1129704312479727616,10,Undirected
1128580866836389888,11,Undirected
1129914107304349696,10,Undirected
1129039432672305152,10,Undirected
1129581117139345411,13,Undirected
1129498758025113605,11,Undirected
1129510891978805248,11,Undirected
1127168008391028737,10,Undirected
1126968599006990336,10,Undirected
1129688165135003648,13,Undirected
1129661755196448769,12,Undirected
1127378662314074112,11,Undirected
1127363210808524800,12,Undirected
1129776510993256450,10,Undirected
1126999437425856512,10,Undirected
1127031211757432832,12,Undirected
1128922888134729728,14,Undirected
1129741059762917386,14,Undirected
1129979179330547712,11,Undirected
1129658956752678912,12,Undirected
1128844718182289408,12,Undirected
1129702009064439814,10,Undirected
1129142469881262080,13,Undirected
1127712576513515520,12,Undirected
1128202009989922816,13,Undirected
1128970007142998017,13,Undirected
1128117898579283968,11,Undirected
1129544338411671552,13,Undirected
1129541270257356800,11,Undirected
1128589263921004544,12,Undirected
1127394231570485249,10,Undirected
1129613092785012736,14,Undirected
1129524793802280960,14,Undirected
1129243839015706626,10,Undirected
1129262512690454529,10,Undirected
1128931521522327553,12,Undirected
1129704701010690049,10,Undirected
1129536476188880896,10,Undirected
1128488000055169024,13,Undirected
1128161931724857344,10,Undirected
1129693660310671370,10,Undirected
1129630991721517056,14,Undirected
1129744177837858816,11,Undirected
1129693570292600833,10,Undirected
1128851508122963969,10,Undirected
1129240630650032128,12,Undirected
1129948649197170690,11,Undirected
1128104251631079424,12,Undirected
1128634032684580868,10,Undirected
1129940884869373952,11,Undirected
1128615896761552896,10,Undirected
1129959766824968193,12,Undirected
1128762856759906305,12,Undirected
1127120269544288256,10,Undirected
1128486522250985472,10,Undirected
1128566070539776001,10,Undirected
1129698058298699776,11,Undirected
1127003469146140672,13,Undirected
1130428892529872898,13,Undirected
1129518286071185408,12,Undirected
1129751315654107136,10,Undirected
1129711950428946432,12,Undirected
1129511339196424192,11,Undirected
1129846263954849792,12,Undirected
1129624706808598531,13,Undirected
1128036208813039616,11,Undirected
1129039645952679937,14,Undirected
1127731949416529922,11,Undirected
1127459469556715521,12,Undirected
1127831027571875840,11,Undirected
1128172585491894273,12,Undirected
1130276109151424512,12,Undirected
1128075836739989504,12,Undirected
1129713691220307968,11,Undirected
1128846782744731648,10,Undirected
1127798978118971392,14,Undirected
1129618170845716481,12,Undirected
1129671571252006912,12,Undirected
1129337070764171265,12,Undirected
1129554566972727296,12,Undirected
1129865319395123200,10,Undirected
1129899914769575936,14,Undirected
1129154507093319680,11,Undirected
1128591202419273729,12,Undirected
1128112544151785472,13,Undirected
1129375952952160256,14,Undirected
1130336622291984385,13,Undirected
1129905219301601280,11,Undirected
1129016836392013824,12,Undirected
1127118413166288896,10,Undirected
1127389506032717824,11,Undirected
1127027906373246976,14,Undirected
1129736786241085441,10,Undirected
1127381472791355392,12,Undirected
1129589216046751744,13,Undirected
1129308325852647424,14,Undirected
1129603547564204032,14,Undirected
1129506933352755201,14,Undirected
1128629866394374145,11,Undirected
1129689911638908928,10,Undirected
1129926766309412864,12,Undirected
1127912097633845248,12,Undirected
1129687269646819328,12,Undirected
1128990387010334721,11,Undirected
1129575331734540289,12,Undirected
1129592913166458880,11,Undirected
1129735666538033154,12,Undirected
1128213220919922688,11,Undirected
1130218680984301568,10,Undirected
1129915293864669184,10,Undirected
1127384343289065472,10,Undirected
1129900280609427456,11,Undirected
1130326568855691264,10,Undirected
1129645094011908096,11,Undirected
1128307228413517824,11,Undirected
